ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
mat2u,the kitchen,4790567897,True,SUPPORT,Braum,0,5,11,29,4198,6803,11194,0.97,139.7,226.39,372.51,-2,-3972,-3229,-221,0.55,False,1.53,0,0,12.34,6.61
hpgamer7,the kitchen,4790625478,False,TOP,Jax,7,6,9,221,21311,15395,17739,6.52,628.33,453.91,523.02,44,3119,3801,3145,0.46,False,0.62,2,1,23.06,23.97
SANTIx9,the kitchen,4790625478,False,JUNGLE,Belveth,11,2,11,209,17226,16170,15657,6.16,507.89,476.76,461.63,19,-8400,1368,1019,0.63,False,0.56,5,1,24.22,19.38
ximmykun,the kitchen,4790625478,False,MIDDLE,Fizz,9,11,9,192,26193,14035,15054,5.66,772.28,413.81,443.85,5,-1244,764,1698,0.51,False,0.5,0,3,21.02,29.46
op2001,the kitchen,4790625478,False,BOTTOM,Seraphine,5,8,13,144,12838,11100,13366,4.25,378.52,327.27,394.08,-105,-10531,-3213,-645,0.51,False,0.5,3,0,16.62,14.44
mat2u,the kitchen,4790625478,True,SUPPORT,Zac,3,9,17,41,11330,10075,11585,1.21,334.05,297.05,341.57,9,1848,1864,1588,0.57,False,1.65,3,0,15.09,12.74
Zehan,Team China,4790625478,False,TOP,Ornn,5,3,7,177,18192,11594,14594,5.22,536.37,341.84,430.29,-44,-3119,-3801,-3145,0.33,False,0.44,2,1,18.64,17.47
MisterCoolBlue,Team China,4790625478,False,JUNGLE,Shaco,11,8,9,190,25626,14802,14638,5.6,755.56,436.42,431.59,-19,8400,-1368,-1019,0.56,False,0.65,0,0,23.8,24.62
LukeRTG,Team China,4790625478,False,MIDDLE,Vex,11,6,6,187,27437,13271,13356,5.51,808.95,391.28,393.79,-5,1244,-764,-1698,0.47,False,0.68,2,3,21.34,26.35
jr1,Team China,4790625478,False,BOTTOM,Twitch,9,9,8,249,23369,14313,14011,7.34,689.01,422.0,413.1,105,10531,3213,645,0.47,True,0.32,3,1,23.01,22.45
NixWS,Team China,4790625478,False,SUPPORT,Nautilus,0,9,17,32,9482,8211,9997,0.94,279.57,242.09,294.75,-9,-1848,-1864,-1588,0.47,False,2.59,3,0,13.2,9.11
hpgamer7,the kitchen,4790703400,False,TOP,Darius,10,3,9,227,33587,14901,17482,7.37,1089.9,483.54,567.29,69,11582,3774,3518,0.66,False,0.58,4,2,24.49,34.74
SANTIx9,the kitchen,4790703400,False,JUNGLE,Nautilus,5,0,16,154,18582,12462,14658,5.0,602.99,404.39,475.65,-35,5094,2268,2651,0.72,False,0.65,2,0,20.48,19.22
ximmykun,the kitchen,4790703400,False,MIDDLE,Yasuo,9,7,7,231,24089,13979,15425,7.5,781.69,453.62,500.54,-1,8613,3368,895,0.55,False,1.1,2,0,22.98,24.92
op2001,the kitchen,4790703400,False,BOTTOM,Ezreal,4,4,11,194,15790,11527,14645,6.3,512.39,374.05,475.23,-54,-7046,-2038,3220,0.52,False,0.75,0,1,18.95,16.33
mat2u,the kitchen,4790703400,True,SUPPORT,Soraka,1,3,15,19,4625,7974,11450,0.62,150.08,258.76,371.55,-15,-1450,871,3015,0.55,False,2.27,0,0,13.11,4.78
Zehan,Team China,4790703400,False,TOP,Camille,6,5,5,158,22005,11127,13964,5.13,714.06,361.07,453.13,-69,-11582,-3774,-3518,0.65,False,0.75,3,2,21.15,27.55
MisterCoolBlue,Team China,4790703400,False,JUNGLE,Zac,3,7,5,189,13488,10194,12007,6.13,437.69,330.8,389.63,35,-5094,-2268,-2651,0.47,False,0.88,0,0,19.38,16.89
LukeRTG,Team China,4790703400,False,MIDDLE,Seraphine,2,6,5,232,15476,10611,14530,7.53,502.2,344.33,471.5,1,-8613,-3368,-895,0.41,False,0.42,0,0,20.17,19.37
jr1,Team China,4790703400,False,BOTTOM,Draven,4,5,2,248,22836,13565,11425,8.05,741.03,440.18,370.74,54,7046,2038,-3220,0.35,True,0.49,3,1,25.79,28.59
NixWS,Team China,4790703400,False,SUPPORT,Thresh,2,6,7,34,6075,7103,8435,1.1,197.13,230.49,273.72,15,1450,-871,-3015,0.53,False,2.01,1,0,13.5,7.61
flipperthebrick,Scheduling Conflict,4791336707,False,TOP,Ornn,1,1,12,142,15247,7829,12195,5.87,630.48,323.74,504.27,-18,7257,1023,1951,0.41,False,0.45,1,0,14.92,19.66
S0Sparky,Scheduling Conflict,4791336707,False,JUNGLE,Nocturne,4,0,9,165,9196,9808,11754,6.82,380.26,405.57,486.04,27,-1027,2177,2727,0.41,True,1.2,0,0,18.69,11.86
Raide0n,Scheduling Conflict,4791336707,False,MIDDLE,Orianna,11,0,12,187,21564,12244,14482,7.73,891.69,506.3,598.84,41,11635,5610,4730,0.72,False,1.03,0,2,23.34,27.8
BlueAndNotHeavy,Scheduling Conflict,4791336707,False,BOTTOM,Ashe,16,1,7,206,26499,15370,11071,8.52,1095.75,635.56,457.79,42,21416,8300,3306,0.72,False,1.08,3,1,29.3,34.17
kbking16,Scheduling Conflict,4791336707,False,SUPPORT,Braum,0,2,21,26,5049,7215,9058,1.08,208.78,298.35,374.56,-2,1112,1425,2425,0.66,False,1.36,0,0,13.75,6.51
Petraciela,Monster Hunter Revengeance,4791336707,False,TOP,TahmKench,0,5,1,160,7990,6806,10244,6.62,330.39,281.43,423.6,18,-7257,-1023,-1951,0.25,False,0.29,0,0,20.06,21.5
arcatesythe,Monster Hunter Revengeance,4791336707,False,JUNGLE,Kayn,1,6,3,138,10223,7631,9027,5.71,422.73,315.55,373.27,-27,1027,-2177,-2727,1.0,False,0.54,0,0,22.49,27.51
SpyChicken,Monster Hunter Revengeance,4791336707,False,MIDDLE,Taliyah,0,9,3,146,9929,6634,9752,6.04,410.57,274.32,403.25,-41,-11635,-5610,-4730,0.75,False,0.66,0,0,19.55,26.72
Alpha Mystogan,Monster Hunter Revengeance,4791336707,False,BOTTOM,Kaisa,1,7,1,164,5083,7070,7765,6.78,210.19,292.35,321.09,-42,-21416,-8300,-3306,0.5,False,0.21,0,0,20.84,13.68
Deep Croissant 2,Monster Hunter Revengeance,4791336707,True,SUPPORT,Pyke,2,5,1,28,3937,5790,6633,1.16,162.8,239.42,274.28,2,-1112,-1425,-2425,0.75,False,2.23,0,0,17.06,10.59
flipperthebrick,Scheduling Conflict,4791409392,False,TOP,Mordekaiser,7,1,7,155,16162,11685,13108,5.77,601.94,435.2,488.19,20,6501,3855,2381,0.4,False,0.89,3,1,19.63,17.81
S0Sparky,Scheduling Conflict,4791409392,False,JUNGLE,Nocturne,10,2,11,150,16117,12483,12477,5.59,600.26,464.92,464.69,-43,1899,2381,786,0.6,False,0.97,3,0,20.98,17.76
Raide0n,Scheduling Conflict,4791409392,False,MIDDLE,Orianna,9,0,15,186,29344,12499,13673,6.93,1092.89,465.51,509.24,66,6783,3217,4433,0.69,False,0.86,1,3,21.0,32.34
BlueAndNotHeavy,Scheduling Conflict,4791409392,False,BOTTOM,Tristana,7,5,10,187,20771,14504,11621,6.96,773.59,540.19,432.81,-6,8104,4191,1526,0.49,True,1.15,6,1,24.37,22.89
kbking16,Scheduling Conflict,4791409392,False,SUPPORT,Nautilus,2,6,13,27,8350,8342,8335,1.01,310.99,310.69,310.43,0,3606,2495,1562,0.43,False,1.75,4,0,14.02,9.2
Petraciela,Monster Hunter Revengeance,4791409392,False,TOP,TahmKench,2,7,2,135,9661,7830,10727,5.03,359.81,291.62,399.52,-20,-6501,-3855,-2381,0.29,False,0.45,0,1,18.05,15.13
arcatesythe,Monster Hunter Revengeance,4791409392,False,JUNGLE,Shyvana,3,4,6,193,14218,10102,11691,7.19,529.53,376.24,435.42,43,-1899,-2381,-786,0.64,False,0.78,0,1,23.29,22.27
SpyChicken,Monster Hunter Revengeance,4791409392,False,MIDDLE,Taliyah,6,8,1,120,22561,9282,9240,4.47,840.26,345.7,344.13,-66,-6783,-3217,-4433,0.5,False,0.6,0,0,21.4,35.33
Alpha Mystogan,Monster Hunter Revengeance,4791409392,False,BOTTOM,Sivir,2,5,4,193,12667,10313,10095,7.19,471.77,384.1,375.98,6,-8104,-4191,-1526,0.43,False,1.01,3,1,23.78,19.84
Deep Croissant 2,Monster Hunter Revengeance,4791409392,True,SUPPORT,Rell,1,11,6,27,4744,5847,6773,1.01,176.69,217.77,252.25,0,-3606,-2495,-1562,0.5,False,1.86,1,0,13.48,7.43
ArchMag342,Bring Back Ruler,4794063900,False,TOP,Ornn,5,0,16,147,20933,12228,17515,4.51,642.45,375.28,537.54,15,15654,4733,5162,0.7,False,0.52,3,1,18.13,18.67
bables,Bring Back Ruler,4794063900,False,JUNGLE,Kindred,13,5,7,257,29643,16826,19179,7.89,909.76,516.4,588.61,92,16190,5879,6846,0.67,False,0.74,1,3,24.95,26.43
HarrisonTT,Bring Back Ruler,4794063900,False,MIDDLE,Xerath,7,2,11,269,39621,16430,19546,8.26,1215.99,504.25,599.88,51,22846,5468,4595,0.6,False,0.89,0,1,24.36,35.33
Saker Lee,Bring Back Ruler,4794063900,False,BOTTOM,Xayah,5,3,7,259,17365,13940,14462,7.95,532.94,427.83,443.85,-44,-4853,272,935,0.4,False,1.17,0,0,20.67,15.49
TheKingOfLamps,Bring Back Ruler,4794063900,True,SUPPORT,Rakan,0,4,16,29,4574,8024,11655,0.89,140.38,246.26,357.7,-3,-2566,228,1060,0.53,False,2.55,0,0,11.9,4.08
Kermalicious,Federal Bureau of Inting (FBI),4794063900,False,TOP,TahmKench,0,8,2,132,5279,7495,12353,4.05,162.02,230.03,379.12,-15,-15654,-4733,-5162,0.14,False,0.46,0,0,14.73,8.14
CrazyApe43,Federal Bureau of Inting (FBI),4794063900,False,JUNGLE,Gragas,5,8,2,165,13453,10947,12333,5.06,412.88,335.97,378.51,-92,-16190,-5879,-6846,0.5,False,0.52,0,1,21.52,20.74
Novaden,Federal Bureau of Inting (FBI),4794063900,False,MIDDLE,Malzahar,3,5,4,218,16775,10962,14951,6.69,514.83,336.43,458.85,-51,-22846,-5468,-4595,0.5,False,1.2,0,0,21.55,25.86
Swordpoint,Federal Bureau of Inting (FBI),4794063900,True,BOTTOM,Aphelios,4,4,6,303,22218,13668,13527,9.3,681.88,419.48,415.15,44,4853,-272,-935,0.71,True,0.52,3,2,26.87,34.25
farlon636,Federal Bureau of Inting (FBI),4794063900,True,SUPPORT,Thresh,2,5,6,32,7140,7796,10595,0.98,219.13,239.26,325.17,3,2566,-228,-1060,0.57,False,1.93,3,0,15.33,11.01
Kermalicious,Federal Bureau of Inting (FBI),4794128322,False,TOP,Malphite,7,7,14,184,31447,15871,22585,3.94,672.66,339.49,483.1,16,11267,1347,2771,0.48,False,0.43,0,0,18.05,16.53
CrazyApe43,Federal Bureau of Inting (FBI),4794128322,False,JUNGLE,Olaf,11,9,20,299,51014,21047,25320,6.4,1091.21,450.2,541.6,-39,2709,-1576,-2100,0.7,True,0.88,1,2,23.94,26.82
Novaden,Federal Bureau of Inting (FBI),4794128322,False,MIDDLE,Vex,9,11,17,247,49372,18161,21836,5.28,1056.09,388.47,467.08,-42,-16884,-5881,-5101,0.59,False,1.01,2,3,20.66,25.96
Swordpoint,Federal Bureau of Inting (FBI),4794128322,True,BOTTOM,Xayah,12,9,8,344,43536,20439,20349,7.36,931.25,437.2,435.27,-42,-611,796,-3019,0.45,False,0.56,2,0,23.25,22.89
farlon636,Federal Bureau of Inting (FBI),4794128322,True,SUPPORT,Alistar,5,8,19,41,14848,12394,17933,0.88,317.6,265.11,383.59,3,7442,1113,2517,0.55,False,2.16,2,1,14.1,7.81
ArchMag342,Bring Back Ruler,4794128322,False,TOP,Poppy,6,6,17,168,20180,14524,19814,3.59,431.66,310.67,423.83,-16,-11267,-1347,-2771,0.52,False,0.64,0,1,15.77,10.83
bables,Bring Back Ruler,4794128322,False,JUNGLE,Kindred,14,8,16,338,48305,22623,27420,7.23,1033.26,483.91,586.52,39,-2709,1576,2100,0.68,False,0.71,1,1,24.56,25.93
HarrisonTT,Bring Back Ruler,4794128322,False,MIDDLE,Sylas,17,9,9,289,66256,24042,26937,6.18,1417.24,514.27,576.19,42,16884,5881,5101,0.59,False,0.41,0,4,26.1,35.57
Saker Lee,Bring Back Ruler,4794128322,False,BOTTOM,Ezreal,7,8,13,386,44147,19643,23368,8.26,944.32,420.17,499.85,42,611,-796,3019,0.45,False,0.39,2,0,21.32,23.7
W3AKSIDE,Bring Back Ruler,4794128322,False,SUPPORT,Rakan,0,13,28,38,7406,11281,15416,0.81,158.42,241.3,329.75,-3,-7442,-1113,-2517,0.64,False,2.25,1,0,12.25,3.98
Tyrannical,Top Lane Is an Impactful Role,4795950263,False,TOP,Mordekaiser,4,5,1,176,19784,9587,12763,6.0,674.84,327.02,435.35,-13,1003,-2493,-1723,0.33,False,0.92,1,1,19.91,22.6
saywho,Top Lane Is an Impactful Role,4795950263,False,JUNGLE,Maokai,5,3,4,159,18293,10376,10824,5.42,623.98,353.93,369.21,-20,8072,175,-2326,0.6,False,0.51,2,0,21.55,20.89
FreezingPro,Top Lane Is an Impactful Role,4795950263,False,MIDDLE,Veigar,1,6,3,196,13239,9778,12673,6.69,451.59,333.53,432.28,-44,-23231,-4602,-5146,0.27,False,1.02,4,0,20.31,15.12
bcypher36,Top Lane Is an Impactful Role,4795950263,False,BOTTOM,Ezreal,4,3,7,170,15200,9900,9069,5.8,518.48,337.69,309.35,-46,3383,-659,-2252,0.73,False,0.72,1,0,20.56,17.36
Swordpoint,Top Lane Is an Impactful Role,4795950263,False,SUPPORT,Senna,1,6,11,37,21040,8514,8766,1.26,717.68,290.42,299.01,7,16697,283,-2513,0.8,False,1.91,1,0,17.68,24.03
Mach 27,MUNCHES,4795950263,False,TOP,Fiora,7,3,4,189,18781,12080,14486,6.45,640.63,412.05,494.12,13,-1003,2493,1723,0.48,False,0.51,2,0,21.78,23.01
mat2u,MUNCHES,4795950263,False,JUNGLE,Belveth,1,5,10,179,10221,10201,13150,6.11,348.64,347.96,448.55,20,-8072,-175,2326,0.48,False,0.68,0,0,18.4,12.52
BossSax,MUNCHES,4795950263,False,MIDDLE,Vladimir,11,1,8,240,36470,14380,17819,8.19,1244.0,490.51,607.81,44,23231,4602,5146,0.83,False,0.82,1,3,25.93,44.68
FIGHTMEHNOW,MUNCHES,4795950263,False,BOTTOM,Ashe,1,5,9,216,11817,10559,11321,7.37,403.08,360.17,386.16,46,-3383,659,2252,0.43,False,0.61,1,0,19.04,14.48
Nelly4L,MUNCHES,4795950263,False,SUPPORT,Braum,3,1,12,30,4343,8231,11279,1.02,148.14,280.76,384.73,-7,-16697,-283,2513,0.65,True,1.84,1,0,14.84,5.32
Mach 27,MUNCHES,4796004246,False,TOP,KSante,3,6,1,153,12753,8065,9708,7.0,583.66,369.11,444.3,35,-5793,-698,-1444,0.8,False,0.37,1,0,24.56,33.73
mat2u,MUNCHES,4796004246,False,JUNGLE,Ivern,0,9,4,96,4860,6290,7230,4.39,222.43,287.87,330.89,-54,-10568,-4540,-5053,0.8,False,0.46,3,0,19.15,12.86
BossSax,MUNCHES,4796004246,False,MIDDLE,Taliyah,0,8,3,153,7514,6702,8925,7.0,343.89,306.73,408.47,-40,-323,-3457,-4134,0.6,False,0.69,3,0,20.41,19.88
FIGHTMEHNOW,MUNCHES,4796004246,False,BOTTOM,Ashe,1,4,0,152,9502,7110,7187,6.96,434.87,325.4,328.92,-13,2722,-1400,-505,0.2,False,0.64,2,1,21.65,25.13
Nelly4L,MUNCHES,4796004246,False,SUPPORT,Braum,1,4,0,29,3175,4673,6529,1.33,145.31,213.87,298.81,11,-4183,-1406,-1139,0.2,False,1.56,2,0,14.23,8.4
Tyrannical,Top Lane Is an Impactful Role,4796004246,False,TOP,Shen,8,2,10,118,18546,8763,11152,5.4,848.79,401.05,510.39,-35,5793,698,1444,0.58,False,0.59,1,3,19.76,33.15
saywho,Top Lane Is an Impactful Role,4796004246,False,JUNGLE,Belveth,11,0,6,150,15428,10830,12283,6.86,706.09,495.65,562.15,54,10568,4540,5053,0.55,True,0.78,0,4,24.42,27.58
FreezingPro,Top Lane Is an Impactful Role,4796004246,False,MIDDLE,Veigar,6,1,2,193,7837,10159,13059,8.83,358.67,464.94,597.67,40,323,3457,4134,0.26,False,0.73,2,3,22.91,14.01
bcypher36,Top Lane Is an Impactful Role,4796004246,False,BOTTOM,Xayah,5,1,4,165,6780,8510,7692,7.55,310.3,389.47,352.04,13,-2722,1400,505,0.29,False,0.69,3,0,19.19,12.12
Swordpoint,Top Lane Is an Impactful Role,4796004246,False,SUPPORT,Rakan,1,1,15,18,7358,6079,7668,0.82,336.75,278.22,350.94,-11,4183,1406,1139,0.52,False,1.6,2,0,13.71,13.15
Tyrannical,Top Lane Is an Impactful Role,4796049665,False,TOP,Mordekaiser,3,2,5,206,16572,11274,13785,6.81,547.83,372.69,455.7,-18,-8813,-3898,-4126,0.44,False,0.63,4,0,21.71,19.99
saywho,Top Lane Is an Impactful Role,4796049665,False,JUNGLE,Udyr,5,6,9,188,16176,11885,13027,6.21,534.74,392.89,430.64,32,12992,2259,-742,0.78,True,0.79,3,0,22.88,19.52
FreezingPro,Top Lane Is an Impactful Role,4796049665,False,MIDDLE,Viktor,2,4,4,192,14125,9574,13801,6.35,466.94,316.5,456.23,-4,-6331,-2538,-1758,0.33,False,0.83,0,0,18.43,17.04
bcypher36,Top Lane Is an Impactful Role,4796049665,False,BOTTOM,Jhin,3,5,8,180,10427,9951,10258,5.95,344.69,328.96,339.11,-56,-9280,-2616,-3321,0.61,False,0.73,1,0,19.16,12.58
Swordpoint,Top Lane Is an Impactful Role,4796049665,False,SUPPORT,Zyra,5,3,10,44,25587,9251,9974,1.45,845.85,305.82,329.72,23,21635,1947,-48,0.83,False,2.35,0,0,17.81,30.87
Mach 27,MUNCHES,4796049665,False,TOP,Fiora,10,1,3,224,25385,15172,17911,7.4,839.17,501.55,592.1,18,8813,3898,4126,0.65,False,0.56,0,1,26.72,34.93
mat2u,MUNCHES,4796049665,False,JUNGLE,Ivern,0,6,8,156,3184,9626,13769,5.16,105.26,318.21,455.17,-32,-12992,-2259,742,0.4,False,0.63,0,0,16.95,4.38
BossSax,MUNCHES,4796049665,False,MIDDLE,Swain,6,3,9,196,20456,12112,15559,6.48,676.23,400.4,514.35,4,6331,2538,1758,0.75,False,0.96,1,3,21.33,28.14
FIGHTMEHNOW,MUNCHES,4796049665,False,BOTTOM,Sivir,3,3,8,236,19707,12567,13579,7.8,651.47,415.44,448.89,56,9280,2616,3321,0.55,False,0.46,2,0,22.13,27.11
Nelly4L,MUNCHES,4796049665,False,SUPPORT,Rell,1,5,9,21,3952,7304,10022,0.69,130.64,241.45,331.31,-23,-21635,-1947,48,0.5,False,1.88,0,0,12.86,5.44
