ign,team_name,game_id,sub,role,champion,kills,deaths,assists,cs,dmg,gold,exp,cs/min,dmg/min,gold/min,exp/min,cs_diff,dmg_diff,gold_diff,exp_diff,kp,fb,vision,plates,solo_kills,gold_perc,dmg_perc
saywho,Top Lane Is an Impactful Role,4788881035,False,JUNGLE,Nautilus,3,3,16,133,9266,9183,12491,4.63,322.86,319.97,435.23,-85,-7704,-2994,-532,0.4,True,0.45,0,0,15.29,9.69
Kìlluà,Top Lane Is an Impactful Role,4788881035,True,MIDDLE,Ahri,4,3,14,182,15398,10744,15345,6.34,536.52,374.36,534.67,19,-2436,1864,3091,0.38,False,0.91,1,0,17.89,16.09
bcypher36,Top Lane Is an Impactful Role,4788881035,False,BOTTOM,Swain,6,1,27,153,14778,12097,14683,5.33,514.91,421.5,511.6,-80,5762,921,3769,0.69,False,0.66,3,0,20.14,15.45
Swordpoint,Top Lane Is an Impactful Role,4788881035,False,SUPPORT,Varus,25,2,12,37,32327,14119,12802,1.29,1126.38,491.95,446.06,25,28549,9438,3925,0.77,False,1.5,4,1,23.5,33.79
Petraciela,Monster Hunter Revengeance,4788920231,False,TOP,TahmKench,8,2,17,165,23540,12130,15259,5.43,774.77,399.23,502.22,-31,4638,2889,1610,0.66,False,0.16,0,2,20.11,22.35
arcatesythe,Monster Hunter Revengeance,4788920231,False,JUNGLE,Maokai,15,6,18,148,24540,14462,14545,4.87,807.68,475.98,478.72,-57,10671,1060,1540,0.87,False,0.26,0,0,23.98,23.3
SpyChicken,Monster Hunter Revengeance,4788920231,False,MIDDLE,Taliyah,7,3,14,197,31186,13338,15142,6.48,1026.42,438.99,498.37,19,2563,2398,3488,0.55,False,1.09,1,0,22.11,29.62
Alpha Mystogan,Monster Hunter Revengeance,4788920231,False,BOTTOM,Ashe,7,5,13,184,20017,11990,13053,6.06,658.82,394.62,429.61,-34,-12483,-2579,77,0.53,False,1.09,2,0,19.88,19.01
Deep Croissant 2,Monster Hunter Revengeance,4788920231,True,SUPPORT,Lulu,1,5,27,9,6020,8399,11057,0.3,198.13,276.43,363.92,-21,-1974,670,1722,0.74,False,2.44,2,0,13.92,5.72
ArchMag342,Bring Back Ruler,4788920231,False,TOP,Ornn,0,6,2,196,18902,9241,13649,6.45,622.12,304.15,449.23,31,-4638,-2889,-1610,0.1,False,0.59,2,0,16.54,18.55
bables,Bring Back Ruler,4788920231,False,JUNGLE,Belveth,8,8,6,205,13869,13402,13005,6.75,456.47,441.1,428.03,57,-10671,-1060,-1540,0.67,True,0.49,2,1,23.98,13.61
HarrisonTT,Bring Back Ruler,4788920231,False,MIDDLE,Syndra,3,9,6,178,28623,10940,11654,5.86,942.06,360.07,383.57,-19,-2563,-2398,-3488,0.43,False,0.39,3,0,19.58,28.09
Saker Lee,Bring Back Ruler,4788920231,False,BOTTOM,Ezreal,8,5,7,218,32500,14569,12976,7.17,1069.67,479.51,427.08,34,12483,2579,-77,0.71,False,0.59,2,3,26.07,31.9
W3AKSIDE,Bring Back Ruler,4788920231,False,SUPPORT,Nautilus,2,11,11,30,7994,7729,9335,0.99,263.1,254.38,307.24,21,1974,-670,-1722,0.62,False,2.27,1,0,13.83,7.85
ArchMag342,Bring Back Ruler,4788972393,False,TOP,Ornn,2,9,10,134,19624,11845,15004,3.8,556.97,336.19,425.85,-31,-3769,-2321,-1067,0.41,False,0.57,2,0,17.17,11.78
bables,Bring Back Ruler,4788972393,False,JUNGLE,Trundle,0,7,12,172,20273,10778,15871,4.88,575.39,305.9,450.45,22,-5959,-1381,1272,0.41,False,0.6,0,0,15.63,12.17
HarrisonTT,Bring Back Ruler,4788972393,False,MIDDLE,AurelionSol,16,2,8,312,72942,18848,21489,8.86,2070.26,534.95,609.91,75,36906,4022,4708,0.83,False,0.28,0,3,27.33,43.78
Saker Lee,Bring Back Ruler,4788972393,False,BOTTOM,Varus,11,5,10,307,44411,19056,17363,8.71,1260.48,540.85,492.8,81,1206,2744,2097,0.72,True,0.57,1,1,27.63,26.65
W3AKSIDE,Bring Back Ruler,4788972393,False,SUPPORT,Leona,0,9,17,29,9378,8449,12461,0.82,266.17,239.8,353.67,13,2147,-825,377,0.59,False,1.76,1,0,12.25,5.63
Petraciela,Monster Hunter Revengeance,4788972393,False,TOP,TahmKench,11,6,11,165,23393,14166,16071,4.68,663.95,402.06,456.13,31,3769,2321,1067,0.69,False,0.51,3,2,21.23,17.19
arcatesythe,Monster Hunter Revengeance,4788972393,False,JUNGLE,Maokai,2,4,23,150,26232,12159,14599,4.26,744.52,345.1,414.35,-22,5959,1381,-1272,0.78,False,0.62,2,0,18.22,19.27
SpyChicken,Monster Hunter Revengeance,4788972393,False,MIDDLE,Taliyah,5,5,16,237,36036,14826,16781,6.73,1022.78,420.79,476.28,-75,-36906,-4022,-4708,0.66,False,0.96,0,0,22.22,26.48
Alpha Mystogan,Monster Hunter Revengeance,4788972393,False,BOTTOM,Xayah,14,5,10,226,43205,16312,15266,6.41,1226.25,462.97,433.28,-81,-1206,-2744,-2097,0.75,False,1.08,3,0,24.44,31.75
Deep Croissant 2,Monster Hunter Revengeance,4788972393,True,SUPPORT,Soraka,0,9,21,16,7231,9274,12084,0.45,205.23,263.22,342.97,-13,-2147,825,-377,0.66,False,2.41,3,0,13.9,5.31
RaceGurramLucky,Weaver's Wall,4789593460,False,TOP,Camille,0,2,1,131,8668,6274,9044,5.73,379.34,274.57,395.8,11,1873,-1097,-1690,0.25,False,0.57,1,0,20.24,25.63
Uninam,Weaver's Wall,4789593460,False,JUNGLE,Graves,2,6,2,123,11285,7511,6856,5.38,493.87,328.71,300.04,-17,1533,-1777,-2713,1.0,False,0.96,2,0,24.23,33.37
KuroTheDivine,Weaver's Wall,4789593460,False,MIDDLE,Galio,0,7,2,114,5421,5785,7964,4.99,237.24,253.17,348.53,-51,-11567,-5871,-3903,0.5,False,0.44,1,0,18.66,16.03
MaadMas0,Weaver's Wall,4789593460,False,BOTTOM,Ashe,1,7,2,118,6055,6247,6591,5.16,264.99,273.39,288.45,-23,-3925,-3506,-2602,0.75,False,0.31,0,0,20.15,17.91
Deep Croissant 2,Weaver's Wall,4789593460,True,SUPPORT,Milio,1,6,2,10,2385,5186,5891,0.44,104.38,226.96,257.81,-11,-18183,-4318,-1848,0.75,True,1.53,0,0,16.73,7.05
Kermalicious,Coinflip Conundrum,4789593460,True,TOP,Ornn,1,1,7,120,6795,7371,10734,5.25,297.37,322.58,469.76,-11,-1873,1097,1690,0.29,False,0.7,1,1,15.49,10.6
MoonNickZ,Coinflip Conundrum,4789593460,False,JUNGLE,Poppy,5,0,10,140,9752,9288,9569,6.13,426.78,406.48,418.77,17,-1533,1777,2713,0.54,False,0.61,0,0,19.52,15.22
Bixzy,Coinflip Conundrum,4789593460,False,MIDDLE,Lux,9,0,11,165,16988,11656,11867,7.22,743.46,510.11,519.34,51,11567,5871,3903,0.71,False,0.88,4,3,24.5,26.51
Neurons,Coinflip Conundrum,4789593460,False,BOTTOM,Jhin,7,1,8,141,9980,9753,9193,6.17,436.76,426.83,402.32,23,3925,3506,2602,0.54,False,0.66,2,0,20.5,15.57
conjax pineapple,Coinflip Conundrum,4789593460,False,SUPPORT,Senna,6,2,17,21,20568,9504,7739,0.92,900.13,415.93,338.69,11,18183,4318,1848,0.82,False,2.54,2,1,19.98,32.1
Kermalicious,Coinflip Conundrum,4789656004,True,TOP,TahmKench,1,5,1,101,6960,5447,7771,4.66,320.98,251.21,358.39,-50,-4809,-4428,-3848,0.4,False,0.37,0,0,18.02,22.82
MoonNickZ,Coinflip Conundrum,4789656004,False,JUNGLE,Poppy,1,6,1,109,4318,6649,7210,5.03,199.14,306.64,332.51,-2,-9356,-3838,-1569,0.4,False,0.65,0,0,22.0,14.16
Bixzy,Coinflip Conundrum,4789656004,False,MIDDLE,Lux,1,6,3,146,8881,6732,9006,6.73,409.58,310.47,415.34,1,-6015,-2545,-2143,0.8,False,0.6,0,0,22.28,29.12
Neurons,Coinflip Conundrum,4789656004,False,BOTTOM,Jhin,1,5,1,114,6622,6035,6598,5.26,305.4,278.32,304.29,-4,-2553,-3869,-1665,0.4,False,0.09,0,0,19.97,21.71
